Part_ID,Category,Unit_Cost,Lead_Time_Days,Demand_Class,ABC_Class,XYZ_Class,ABC_XYZ,Avg_Monthly_Demand,Annual_Demand,Annual_Value,EOQ,Safety_Stock,ROP,Avg_Inventory,Working_Capital,Inventory_Turnover,Days_of_Supply,Stock_Status,Newsvendor_Savings,Recommended_Method,MASE,Cpk,CV
P0030,Engine Components,162.49,30,Lumpy,B,Z,BZ,1.55,18.6,3020.41,6.8,5.4,6.9,8.8,1424.68,2.053,175.4,Healthy,175.05,SBA,0.76,0.157,2.114
P0031,Electrical,219.78,18,Smooth,A,X,AX,9.82,117.9,25908.35,14.6,3.3,9.2,10.6,2329.93,10.565,34.1,Healthy,380.73,Naive,1.111,1.268,0.262
P0032,Engine Components,744.87,37,Lumpy,A,Z,AZ,1.69,20.2,15072.74,3.3,7.0,9.1,8.7,6463.37,0.922,390.5,Slow Mover,656.45,SBA,0.89,0.146,2.282
P0033,Engine Components,238.59,24,Erratic,A,Z,AZ,2.9,34.8,8308.64,7.6,5.2,7.5,9.0,2149.75,3.441,104.6,Healthy,160.8,SBA,1.362,0.273,1.215
P0034,Cooling System,69.84,9,Lumpy,C,Z,CZ,0.86,10.4,723.02,7.7,2.2,2.5,6.1,424.04,1.976,182.2,Healthy,64.86,SBA,1.751,0.116,2.858
P0035,Cooling System,32.63,23,Erratic,C,Z,CZ,2.24,26.8,875.33,18.1,3.2,4.9,12.3,401.0,1.79,201.1,Healthy,45.0,SBA,1.391,0.332,1.001
P0036,Exhaust System,80.46,7,Lumpy,C,Z,CZ,0.94,11.3,908.76,7.5,2.0,2.2,5.8,463.8,2.602,138.3,Healthy,52.43,SBA,0.852,0.123,2.698
P0037,Brake System,257.61,21,Lumpy,C,Z,CZ,0.59,7.1,1818.45,3.3,2.8,3.2,4.5,1156.7,1.336,269.4,Healthy,163.66,SBA,0.854,0.095,3.501
P0038,Engine Components,531.74,45,Smooth,A,X,AX,11.12,133.4,70939.96,10.0,6.2,22.9,11.2,5981.7,11.734,30.7,Healthy,2000.78,Naive,1.677,1.193,0.279
P0039,Transmission,391.45,29,Lumpy,B,Z,BZ,0.75,8.9,3500.05,3.0,3.7,4.5,5.3,2058.26,1.331,270.4,Excess Stock,315.0,SBA,0.886,0.107,3.109
P0040,Suspension,204.98,24,Smooth,A,X,AX,6.1,73.2,14999.59,11.9,3.2,8.1,9.2,1876.94,9.61,37.5,Healthy,421.95,Naive,1.42,0.936,0.355
P0041,Engine Components,151.0,41,Intermittent,C,Z,CZ,0.92,11.1,1669.86,5.4,2.9,4.2,5.6,849.75,1.066,337.7,Healthy,16.66,Croston,1.601,0.201,1.648
P0042,Suspension,176.92,33,Erratic,B,Z,BZ,2.73,32.7,5786.4,8.6,5.7,8.7,10.0,1768.68,3.001,120.0,Healthy,224.41,SBA,0.928,0.274,1.212
P0043,Engine Components,626.44,48,Lumpy,A,Z,AZ,1.45,17.4,10907.43,3.3,7.5,9.8,9.1,5728.64,2.078,173.3,Excess Stock,417.9,SBA,0.843,0.134,2.477
P0044,Fuel System,205.23,19,Lumpy,C,Z,CZ,0.63,7.5,1545.23,3.8,2.5,2.9,4.5,914.28,1.571,229.1,Healthy,50.47,SBA,1.097,0.107,3.092
P0045,Brake System,277.94,18,Lumpy,C,Z,CZ,0.14,1.6,457.79,1.5,0.9,1.0,1.6,457.11,2.432,148.0,Healthy,41.2,SBA,0.734,0.066,5.002
P0046,Electrical,24.18,8,Erratic,C,Z,CZ,3.04,36.5,881.93,24.6,3.0,3.8,15.3,369.17,2.686,134.0,Healthy,47.17,SBA,1.718,0.287,1.156
P0047,Brake System,292.1,7,Lumpy,B,Z,BZ,1.04,12.5,3642.71,4.1,2.3,2.5,4.4,1271.16,4.136,87.0,Healthy,95.29,SBA,1.612,0.12,2.768
P0048,Suspension,365.45,30,Lumpy,C,Z,CZ,0.22,2.6,945.86,1.7,1.9,2.2,2.8,1014.99,1.08,333.3,Excess Stock,57.64,SBA,1.656,0.061,5.456
P0049,Suspension,364.35,10,Erratic,A,Z,AZ,2.04,24.5,8915.78,5.2,2.5,3.2,5.1,1868.59,2.925,123.1,Healthy,526.49,SBA,1.61,0.254,1.31
P0050,Engine Components,487.54,23,Erratic,A,Z,AZ,2.55,30.6,14913.08,5.0,4.3,6.2,6.8,3308.59,5.6,64.3,Healthy,559.89,SBA,0.924,0.285,1.166
P0051,Cooling System,89.7,21,Lumpy,C,Z,CZ,1.08,12.9,1160.83,7.6,3.5,4.3,7.3,656.5,1.64,219.6,Healthy,67.59,SBA,1.355,0.14,2.372
P0052,Transmission,366.6,52,Lumpy,B,Z,BZ,0.61,7.3,2674.05,2.8,4.7,5.7,6.1,2225.63,1.812,198.7,Excess Stock,240.66,SBA,1.196,0.094,3.54
P0053,Cooling System,39.85,13,Lumpy,C,Z,CZ,0.82,9.9,393.85,10.0,2.8,3.1,7.7,308.14,1.164,309.3,Healthy,13.36,SBA,1.044,0.108,3.086
P0054,Fuel System,67.22,24,Erratic,C,Z,CZ,2.39,28.7,1929.71,13.1,3.7,5.6,10.2,687.87,2.834,127.0,Healthy,21.48,SBA,1.141,0.316,1.051
P0055,Electrical,82.61,20,Intermittent,C,Z,CZ,0.9,10.8,894.13,7.2,2.5,3.1,6.1,505.44,1.634,220.3,Healthy,63.47,Croston,0.833,0.161,2.063
P0056,Cooling System,102.61,20,Lumpy,C,Z,CZ,0.14,1.6,169.01,2.5,1.3,1.4,2.6,263.76,0.0,,Dead Stock,3.85,SBA,1.003,0.047,7.071
P0057,Engine Components,700.87,45,Intermittent,A,Z,AZ,0.78,9.4,6596.39,2.3,2.9,4.1,4.1,2853.9,1.719,209.4,Excess Stock,559.98,Croston,0.83,0.18,1.844
P0058,Engine Components,499.2,40,Lumpy,A,Z,AZ,1.53,18.4,9161.75,3.8,5.6,7.6,7.5,3757.18,0.93,387.1,Slow Mover,315.9,SBA,1.083,0.172,1.931
P0059,Engine Components,192.63,41,Intermittent,C,Z,CZ,0.33,4.0,770.53,2.9,1.9,2.3,3.3,634.46,1.214,296.4,Healthy,44.58,Croston,1.678,0.114,2.89
P0060,Brake System,308.39,24,Intermittent,C,Z,CZ,0.51,6.1,1886.63,2.8,1.8,2.2,3.2,983.67,1.568,229.7,Healthy,9.54,Croston,0.888,0.139,2.375
P0061,Brake System,304.25,13,Intermittent,C,Z,CZ,0.2,2.4,715.88,1.8,1.0,1.0,1.8,559.48,0.0,,Dead Stock,56.98,Croston,1.776,0.073,4.519
P0062,Brake System,260.93,23,Lumpy,B,Z,BZ,0.78,9.4,2455.78,3.8,3.6,4.2,5.5,1437.89,1.27,283.4,Healthy,146.51,SBA,1.133,0.104,3.197
P0063,Exhaust System,188.66,24,Lumpy,C,Z,CZ,0.51,6.1,1154.13,3.6,3.1,3.5,4.9,917.21,0.0,,Dead Stock,0.0,SBA,0.874,0.081,4.081
P0064,Brake System,194.73,18,Smooth,A,X,AX,13.14,157.6,30699.03,18.0,4.7,12.5,13.7,2660.85,12.222,29.5,Healthy,696.29,Naive,1.405,1.192,0.279
P0065,Brake System,309.76,14,Erratic,A,Z,AZ,2.02,24.2,7507.16,5.6,2.7,3.6,5.5,1692.17,3.661,98.3,Healthy,255.28,SBA,0.607,0.283,1.175
P0066,Suspension,89.49,40,Smooth,A,X,AX,10.45,125.4,11222.59,23.7,5.6,19.6,17.5,1562.38,7.331,49.1,Healthy,261.91,Naive,1.528,1.173,0.283
P0067,Engine Components,419.51,47,Lumpy,A,Z,AZ,1.86,22.4,9377.21,4.6,6.8,9.8,9.2,3840.88,0.983,366.2,Slow Mover,145.22,SBA,0.824,0.186,1.785
P0068,Exhaust System,69.93,13,Erratic,C,Z,CZ,1.92,23.1,1612.6,11.5,2.3,3.1,8.0,562.28,4.726,76.2,Healthy,31.36,SBA,1.345,0.3,1.104
P0069,Engine Components,294.33,49,Intermittent,C,Z,CZ,0.02,0.2,69.25,0.6,0.3,0.3,0.6,169.01,0.0,,Dead Stock,6.23,Croston,0.739,0.044,7.071
P0070,Body Parts,83.65,27,Erratic,B,Z,BZ,2.12,25.4,2125.67,11.0,3.8,5.7,9.3,778.34,3.332,108.1,Healthy,57.36,SBA,1.516,0.289,1.148
P0071,Transmission,542.33,58,Erratic,A,Z,AZ,1.71,20.5,11101.76,3.9,4.0,7.3,5.9,3213.3,4.219,85.3,Excess Stock,652.59,SBA,1.493,0.325,1.021
P0072,Engine Components,725.83,22,Intermittent,A,Z,AZ,0.82,9.9,7172.95,2.3,2.4,3.0,3.5,2561.53,1.133,317.6,Excess Stock,325.34,Croston,1.12,0.163,2.036
P0073,Engine Components,576.21,22,Lumpy,B,Z,BZ,0.53,6.4,3660.6,2.1,3.2,3.6,4.3,2475.1,0.0,,Dead Stock,137.31,SBA,1.583,0.076,4.352
P0074,Exhaust System,57.78,20,Lumpy,C,Z,CZ,0.86,10.4,598.18,8.5,3.6,4.2,7.8,453.05,1.403,256.6,Healthy,53.84,SBA,1.668,0.107,3.114
P0075,Transmission,646.12,28,Intermittent,A,Z,AZ,0.98,11.8,7601.39,2.7,2.5,3.4,3.8,2466.38,2.096,171.8,Healthy,94.02,Croston,1.407,0.209,1.584
P0076,Transmission,549.78,55,Lumpy,A,Z,AZ,1.96,23.5,12935.88,4.1,8.7,12.3,10.7,5901.38,2.795,128.8,Excess Stock,109.18,SBA,0.775,0.168,1.984
P0077,Transmission,413.49,38,Smooth,A,X,AX,14.61,175.3,72482.56,13.0,7.3,25.8,13.9,5728.3,14.22,25.3,Healthy,1783.93,Naive,0.989,1.225,0.271
P0078,Engine Components,646.83,18,Intermittent,A,Z,AZ,1.53,18.4,11871.31,3.4,2.1,3.0,3.8,2468.26,3.145,114.5,Healthy,145.3,Croston,1.719,0.303,1.094
P0079,Brake System,116.47,20,Lumpy,C,Z,CZ,0.45,5.4,630.33,4.3,2.6,2.9,4.7,548.72,1.486,242.3,Healthy,38.28,SBA,0.952,0.079,4.219
P0080,Engine Components,404.41,41,Lumpy,C,Z,CZ,0.37,4.5,1807.94,2.1,3.6,4.1,4.6,1877.79,0.0,,Dead Stock,162.71,SBA,1.078,0.066,5.014
P0081,Fuel System,194.73,10,Smooth,A,X,AX,6.14,73.6,14341.65,12.3,2.8,4.8,8.9,1733.37,8.201,43.9,Healthy,200.5,Naive,1.019,0.704,0.472
P0082,Electrical,94.11,11,Erratic,B,Y,BY,2.43,29.2,2745.86,11.1,2.4,3.3,8.0,750.05,5.27,68.3,Healthy,147.64,SBA,1.165,0.335,0.992
P0083,Brake System,174.25,26,Lumpy,B,Z,BZ,1.55,18.6,3238.94,6.5,4.9,6.3,8.2,1429.85,2.559,140.7,Healthy,291.5,SBA,0.618,0.16,2.082
P0084,Engine Components,806.03,38,Intermittent,B,Z,BZ,0.55,6.6,5310.34,1.8,2.6,3.3,3.5,2803.94,2.012,178.9,Excess Stock,232.95,Croston,1.018,0.131,2.533
P0085,Brake System,239.62,18,Smooth,A,X,AX,6.86,82.4,19733.69,11.7,3.1,7.2,9.0,2155.16,8.339,43.2,Healthy,581.05,Naive,1.194,0.927,0.358
P0086,Brake System,62.11,8,Lumpy,C,Z,CZ,0.53,6.4,394.56,6.4,1.8,2.0,5.0,312.29,1.79,201.1,Healthy,35.51,SBA,1.275,0.082,4.069
P0087,Transmission,281.02,34,Lumpy,A,Z,AZ,2.61,31.3,8794.17,6.7,7.5,10.5,10.9,3050.74,5.158,69.8,Excess Stock,79.53,SBA,1.444,0.202,1.646
P0088,Electrical,20.05,10,Lumpy,C,Z,CZ,0.2,2.4,47.19,6.9,0.9,1.0,4.4,87.56,0.0,,Dead Stock,4.25,SBA,0.637,0.065,5.052
P0089,Fuel System,141.72,22,Lumpy,C,Z,CZ,0.63,7.5,1067.07,4.6,3.6,4.1,5.9,837.5,3.215,112.0,Healthy,0.54,SBA,1.072,0.081,4.078
P0090,Suspension,234.59,29,Lumpy,C,Z,CZ,0.53,6.4,1490.35,3.3,3.5,4.0,5.1,1200.0,0.0,,Dead Stock,134.13,SBA,0.854,0.082,4.052
P0091,Engine Components,248.96,51,Lumpy,B,Z,BZ,1.25,15.1,3749.05,4.9,6.9,9.0,9.3,2320.11,2.253,159.8,Excess Stock,42.77,SBA,0.675,0.13,2.549
P0092,Transmission,726.86,24,Smooth,A,X,AX,10.37,124.5,90473.16,8.3,4.6,12.9,8.7,6356.22,14.409,25.0,Healthy,2665.85,Naive,0.838,1.101,0.302
P0093,Transmission,491.31,35,Lumpy,A,Z,AZ,1.49,17.9,8785.83,3.8,6.3,8.1,8.3,4055.63,2.302,156.4,Excess Stock,55.84,SBA,1.438,0.139,2.397
P0094,Electrical,81.38,12,Intermittent,C,Z,CZ,0.45,5.4,440.39,5.2,1.2,1.4,3.8,310.89,1.309,275.1,Healthy,3.71,Croston,1.525,0.125,2.646
P0095,Transmission,475.33,45,Lumpy,B,Z,BZ,1.06,12.7,6039.51,3.3,7.1,8.6,8.7,4129.13,0.806,446.8,Slow Mover,543.56,SBA,0.745,0.101,3.306
P0096,Suspension,325.05,10,Erratic,A,Z,AZ,2.31,27.8,9024.97,5.8,2.4,3.1,5.3,1714.77,5.118,70.3,Healthy,393.0,SBA,1.14,0.31,1.071
P0097,Suspension,89.73,16,Intermittent,C,Z,CZ,0.16,1.9,168.91,2.9,1.0,1.0,2.4,216.34,0.0,,Dead Stock,11.0,Croston,0.78,0.064,5.108
P0098,Suspension,167.13,40,Intermittent,C,Z,CZ,0.49,5.9,983.14,3.8,2.3,3.0,4.2,702.99,2.377,151.4,Healthy,65.01,Croston,1.773,0.132,2.502
P0099,Engine Components,744.73,25,Erratic,A,Y,AY,1.9,22.8,16997.45,3.5,2.8,4.4,4.5,3372.46,2.208,163.0,Healthy,373.76,SBA,1.578,0.341,0.973
P0100,Engine Components,488.77,55,Erratic,A,Z,AZ,2.49,29.9,14605.69,4.9,6.5,11.0,8.9,4365.06,3.247,110.9,Excess Stock,841.79,SBA,1.335,0.285,1.164
P0101,Engine Components,552.83,18,Lumpy,A,Z,AZ,1.45,17.4,9625.7,3.5,4.0,4.8,5.7,3165.96,1.048,343.6,Excess Stock,231.28,SBA,1.199,0.155,2.138
P0102,Electrical,131.4,16,Lumpy,C,Z,CZ,0.51,6.1,803.85,4.3,2.7,3.0,4.9,640.45,0.0,,Dead Stock,70.56,SBA,1.289,0.075,4.435
P0103,Brake System,57.07,24,Lumpy,C,Z,CZ,1.41,16.9,966.88,10.9,5.1,6.2,10.5,600.49,0.95,378.8,Slow Mover,40.54,SBA,1.549,0.136,2.442
P0104,Suspension,124.64,21,Erratic,B,Z,BZ,2.33,28.0,3489.99,9.5,3.6,5.3,8.4,1043.57,3.225,111.6,Healthy,142.54,SBA,1.638,0.294,1.131
P0105,Fuel System,107.43,13,Lumpy,C,Z,CZ,1.22,14.6,1567.14,7.4,3.5,4.0,7.2,772.51,5.284,68.1,Healthy,115.64,SBA,1.761,0.125,2.663
P0106,Brake System,102.53,24,Smooth,A,X,AX,10.2,122.4,12544.36,21.8,4.4,12.6,15.4,1576.02,8.717,41.3,Healthy,184.28,Naive,1.508,1.121,0.296
P0107,Suspension,79.49,11,Erratic,C,Z,CZ,1.84,22.1,1758.17,10.5,2.0,2.7,7.3,577.18,2.754,130.7,Healthy,50.34,SBA,1.698,0.307,1.082
P0108,Transmission,664.01,30,Erratic,A,Z,AZ,2.18,26.1,17342.31,4.0,4.0,6.1,5.9,3945.76,2.356,152.8,Healthy,477.2,SBA,0.751,0.3,1.106
P0109,Brake System,314.83,21,Intermittent,B,Z,BZ,0.63,7.5,2370.47,3.1,1.9,2.4,3.5,1099.42,0.0,,Dead Stock,36.69,Croston,1.697,0.147,2.253
P0110,Engine Components,734.55,43,Erratic,A,Z,AZ,3.16,37.9,27826.34,4.5,8.2,12.7,10.4,7673.01,3.063,117.5,Excess Stock,348.21,SBA,1.571,0.253,1.315
P0111,Brake System,279.79,18,Lumpy,B,Z,BZ,1.43,17.2,4805.82,5.0,4.7,5.6,7.2,2012.64,2.363,152.3,Healthy,432.52,SBA,1.665,0.129,2.586
P0112,Engine Components,328.34,30,Intermittent,B,Z,BZ,0.78,9.4,3090.23,3.4,2.7,3.4,4.3,1426.9,0.92,391.1,Slow Mover,21.54,Croston,1.304,0.161,2.056
P0113,Cooling System,174.09,10,Smooth,A,X,AX,12.88,154.6,26912.89,18.8,2.9,7.2,12.4,2153.7,12.934,27.8,Healthy,425.68,Naive,1.139,1.379,0.241
P0114,Exhaust System,65.52,13,Erratic,C,Z,CZ,2.06,24.7,1618.82,12.3,2.4,3.3,8.5,559.07,2.461,146.3,Healthy,17.27,SBA,1.716,0.309,1.073
P0115,Electrical,267.27,18,Erratic,A,Z,AZ,2.59,31.1,8301.23,6.8,3.6,5.2,7.0,1879.5,6.541,55.0,Healthy,348.59,SBA,1.682,0.302,1.099
P0116,Fuel System,209.04,15,Erratic,B,Z,BZ,1.96,23.5,4918.63,6.7,2.9,3.8,6.2,1298.8,3.702,97.2,Healthy,48.07,SBA,0.694,0.265,1.253
P0117,Exhaust System,145.32,25,Lumpy,C,Z,CZ,0.43,5.2,752.23,3.8,2.6,3.0,4.5,656.54,1.328,271.1,Healthy,24.45,SBA,0.768,0.082,4.061
P0118,Engine Components,873.1,52,Erratic,A,Z,AZ,2.49,29.9,26090.37,3.7,7.2,11.5,9.1,7929.86,1.762,204.4,Excess Stock,1990.48,SBA,1.343,0.248,1.341
P0119,Fuel System,130.36,8,Lumpy,C,Z,CZ,1.25,15.1,1963.14,6.8,2.8,3.2,6.2,810.59,4.021,89.5,Healthy,65.67,SBA,0.696,0.126,2.645
P0120,Suspension,161.22,15,Smooth,B,Y,BY,2.43,29.2,4703.87,8.5,1.9,3.1,6.2,992.66,4.548,79.2,Healthy,102.28,Naive,1.567,0.492,0.673
P0121,Exhaust System,102.73,24,Lumpy,C,Z,CZ,0.82,9.9,1015.26,6.2,3.6,4.3,6.7,692.15,1.039,346.5,Healthy,41.94,SBA,0.798,0.111,3.001
P0122,Fuel System,134.81,12,Erratic,B,Z,BZ,2.06,24.7,3330.57,8.6,2.2,3.0,6.5,876.78,3.69,97.6,Healthy,95.28,SBA,0.939,0.32,1.038
P0123,Brake System,65.1,19,Intermittent,C,Z,CZ,0.59,7.1,459.51,6.6,1.6,2.0,4.9,317.26,1.436,250.6,Healthy,41.36,Croston,1.356,0.161,2.053
P0124,Engine Components,608.67,47,Intermittent,B,Z,BZ,0.82,9.9,6015.06,2.5,3.5,4.8,4.8,2920.64,2.292,157.0,Excess Stock,222.79,Croston,0.85,0.159,2.078
P0125,Brake System,314.82,18,Erratic,A,Z,AZ,3.02,36.2,11407.74,6.8,4.1,5.9,7.5,2352.67,6.557,54.9,Healthy,778.08,SBA,1.539,0.313,1.06
P0126,Suspension,134.14,24,Erratic,B,Y,BY,2.78,33.4,4481.92,10.0,3.8,6.1,8.8,1182.53,4.424,81.4,Healthy,69.91,SBA,1.051,0.356,0.934
P0127,Exhaust System,157.85,20,Smooth,A,X,AX,12.8,153.6,24253.53,19.7,5.5,14.1,15.4,2432.05,11.164,32.2,Healthy,396.15,Naive,1.021,1.032,0.322
P0128,Fuel System,192.96,12,Intermittent,C,Z,CZ,0.43,5.2,998.86,3.3,1.4,1.6,3.1,589.33,2.619,137.4,Healthy,9.29,Croston,1.177,0.105,3.156
P0129,Engine Components,845.51,50,Lumpy,A,Z,AZ,1.96,23.5,19894.31,3.3,8.5,11.8,10.2,8601.3,0.0,,Dead Stock,1288.5,SBA,1.146,0.163,2.042
P0130,Suspension,434.45,41,Erratic,A,Z,AZ,2.65,31.8,13800.27,5.4,7.8,11.4,10.5,4560.73,2.286,157.5,Excess Stock,427.76,SBA,1.433,0.217,1.531
P0131,Suspension,263.37,12,Lumpy,B,Z,BZ,1.04,12.5,3284.37,4.4,2.9,3.3,5.1,1338.47,0.0,,Dead Stock,19.68,SBA,1.085,0.124,2.688
P0132,Brake System,313.76,9,Smooth,A,Y,AY,4.18,50.1,15724.9,8.0,2.2,3.4,6.2,1929.75,8.292,43.4,Healthy,216.37,Naive,1.287,0.58,0.572
P0133,Engine Components,708.14,35,Smooth,A,X,AX,7.39,88.7,62815.97,7.1,4.1,12.7,7.6,5402.19,12.584,28.6,Healthy,909.14,Naive,1.497,1.066,0.311
P0134,Brake System,89.46,28,Lumpy,C,Z,CZ,0.67,8.0,715.68,6.0,3.7,4.3,6.7,600.25,0.0,,Dead Stock,38.32,SBA,1.673,0.095,3.51
P0135,Cooling System,101.54,16,Intermittent,C,Z,CZ,0.37,4.5,453.92,4.2,1.2,1.4,3.3,338.48,1.5,240.0,Healthy,40.85,Croston,1.259,0.12,2.76
P0136,Brake System,242.54,25,Erratic,A,Z,AZ,2.45,29.4,7133.56,7.0,4.3,6.3,7.7,1875.56,4.397,81.9,Healthy,141.56,SBA,1.221,0.288,1.155
P0137,Suspension,156.46,12,Intermittent,C,Z,CZ,0.24,2.8,441.78,2.7,1.0,1.1,2.3,366.75,0.0,,Dead Stock,5.95,Croston,0.989,0.081,4.088
P0138,Transmission,552.34,32,Lumpy,B,Z,BZ,0.57,6.8,3768.9,2.2,3.4,4.0,4.5,2483.84,1.112,323.8,Excess Stock,339.2,SBA,0.852,0.095,3.504
P0139,Brake System,228.32,22,Intermittent,C,Z,CZ,0.47,5.6,1289.31,3.1,2.1,2.5,3.7,845.6,0.54,666.7,Slow Mover,88.43,Croston,0.994,0.103,3.215
P0140,Body Parts,90.44,26,Erratic,B,Y,BY,2.12,25.4,2298.16,10.6,2.9,4.8,8.2,743.38,2.311,155.7,Healthy,80.04,SBA,0.886,0.368,0.9
P0141,Cooling System,114.76,13,Lumpy,B,Z,BZ,1.55,18.6,2133.24,8.0,4.2,4.9,8.3,949.31,0.0,,Dead Stock,99.1,SBA,1.215,0.131,2.532
